2026-03-15 04:20:48,0
2026-03-15 04:50:01,0
2026-03-15 05:20:23,0,0,0,0
2026-03-15 05:50:04,1,0,1,0
2026-03-15 06:19:47,0,0,0,0
2026-03-15 06:49:50,0,0,0,0
2026-03-15 07:19:36,0,0,0,0
2026-03-15 07:49:36,0,0,0,0
2026-03-15 08:19:37,0,0,0,0
2026-03-15 08:49:37,1,0,1,0
2026-03-15 09:19:55,0,0,0,0
2026-03-15 09:49:33,0,0,0,0
2026-03-15 10:19:46,1,0,1,0
2026-03-15 10:20:04,0,0,0,0
2026-03-15 10:20:05,1,0,1,0
2026-03-15 10:20:07,1,0,1,0
2026-03-15 10:20:09,0,0,0,0
2026-03-15 10:20:53,1,0,1,0
2026-03-15 10:21:32,0,0,0,0
2026-03-15 10:21:33,0,0,0,0
2026-03-15 10:21:35,0,0,0,0
